"","County","Party","Vote Percentage","Turnout.Percentage"
"1","Appling County","REPUBLICAN",0.811255099592033,72.26
"2","Atkinson County","REPUBLICAN",0.768727510631338,68.43
"3","Bacon County","REPUBLICAN",0.865054763380864,74.75
"4","Baker County","REPUBLICAN",0.598238482384824,71.93
"5","Baldwin County","REPUBLICAN",0.508579017264276,70.92
"6","Banks County","REPUBLICAN",0.889628291662706,74.77
"7","Barrow County","REPUBLICAN",0.699458278326581,72.7
"8","Bartow County","REPUBLICAN",0.751924513875615,71.87
"9","Ben Hill County","REPUBLICAN",0.65851407475773,65.02
"10","Berrien County","REPUBLICAN",0.847917699553793,70.12
"11","Bibb County","DEMOCRAT",0.609589338113066,64.57
"12","Bleckley County","REPUBLICAN",0.775148908007942,74.94
"13","Brantley County","REPUBLICAN",0.911058823529412,72.99
"14","Brooks County","REPUBLICAN",0.63245492371706,67.69
"15","Bryan County","REPUBLICAN",0.678998823577137,75.5
"16","Bulloch County","REPUBLICAN",0.642588112808892,68.54
"17","Burke County","REPUBLICAN",0.544444444444444,68.26
"18","Butts County","REPUBLICAN",0.723865120208925,74.64
"19","Calhoun County","DEMOCRAT",0.56079766536965,70.13
"20","Camden County","REPUBLICAN",0.675141135907248,70.8
"21","Candler County","REPUBLICAN",0.736865148861646,68.05
"22","Carroll County","REPUBLICAN",0.703144113465798,70.5
"23","Catoosa County","REPUBLICAN",0.774872995033963,76.5
"24","Charlton County","REPUBLICAN",0.779386343993086,72.95
"25","Chatham County","DEMOCRAT",0.586482789900006,68.52
"26","Chattahoochee County","REPUBLICAN",0.579693034238489,51.04
"27","Chattooga County","REPUBLICAN",0.81907341677564,72.1
"28","Cherokee County","REPUBLICAN",0.69103591917723,81.06
"29","Clarke County","DEMOCRAT",0.68631232628056,74.5
"30","Clay County","DEMOCRAT",0.534674063800277,NA
"31","Clayton County","DEMOCRAT",0.843138307869935,61.64
"32","Clinch County","REPUBLICAN",0.75687757909216,69.87
"33","Cobb County","DEMOCRAT",0.569062383990792,78.56
"34","Coffee County","REPUBLICAN",0.724657970092269,66.5
"35","Colquitt County","REPUBLICAN",0.749563542231052,64.49
"36","Columbia County","REPUBLICAN",0.624499534450652,78.7
"37","Cook County","REPUBLICAN",0.730460785646323,68.75
"38","Coweta County","REPUBLICAN",0.665813119791424,78.92
"39","Crawford County","REPUBLICAN",0.74794952681388,67.97
"40","Crisp County","REPUBLICAN",0.628265155248891,63.59
"41","Dade County","REPUBLICAN",0.829756097560976,71.82
"42","Dawson County","REPUBLICAN",0.823833137365165,81.31
"43","Decatur County","REPUBLICAN",0.61823534505152,61.46
"44","DeKalb County","DEMOCRAT",0.818643308342987,74.11
"45","Dodge County","REPUBLICAN",0.748383233532934,72.32
"46","Dooly County","REPUBLICAN",0.53698826909265,64.31
"47","Dougherty County","DEMOCRAT",0.704017725258493,58.4
"48","Douglas County","DEMOCRAT",0.653836908414757,72.94
"49","Early County","REPUBLICAN",0.557081369133019,61.89
"50","Echols County","REPUBLICAN",0.908901251738526,69.82
"51","Effingham County","REPUBLICAN",0.74337821432513,75.98
"52","Elbert County","REPUBLICAN",0.71540306601314,73.83
"53","Emanuel County","REPUBLICAN",0.71930554111654,68.63
"54","Evans County","REPUBLICAN",0.70947219604147,67.78
"55","Fannin County","REPUBLICAN",0.8220675944334,78.96
"56","Fayette County","REPUBLICAN",0.511529752254365,82.54
"57","Floyd County","REPUBLICAN",0.707027582815504,73.82
"58","Forsyth County","REPUBLICAN",0.660265173708309,82.79
"59","Franklin County","REPUBLICAN",0.861532125205931,75.4
"60","Fulton County","DEMOCRAT",0.718842832534312,71.49
"61","Gilmer County","REPUBLICAN",0.810345760510795,78.13
"62","Glascock County","REPUBLICAN",0.918562874251497,81.14
"63","Glynn County","REPUBLICAN",0.627573328475132,72.24
"64","Gordon County","REPUBLICAN",0.814859088603927,71.11
"65","Grady County","REPUBLICAN",0.689027803694719,71.28
"66","Greene County","REPUBLICAN",0.642499608947286,80.46
"67","Gwinnett County","DEMOCRAT",0.576462925589699,73.1
"68","Habersham County","REPUBLICAN",0.822250859106529,76.56
"69","Hall County","REPUBLICAN",0.715787512380728,73.25
"70","Hancock County","DEMOCRAT",0.675471698113208,72.44
"71","Haralson County","REPUBLICAN",0.870141774627231,74.26
"72","Harris County","REPUBLICAN",0.72844808303136,81.66
"73","Hart County","REPUBLICAN",0.772032656478962,78.04
"74","Heard County","REPUBLICAN",0.859098228663446,74.64
"75","Henry County","DEMOCRAT",0.645202039772463,75.5
"76","Houston County","REPUBLICAN",0.553156512991633,73.16
"77","Irwin County","REPUBLICAN",0.769230769230769,73.84
"78","Jackson County","REPUBLICAN",0.772537730457422,77.8
"79","Jasper County","REPUBLICAN",0.789975871901733,78
"80","Jeff Davis County","REPUBLICAN",0.840429155313351,70.74
"81","Jefferson County","REPUBLICAN",0.504488811469918,68.09
"82","Jenkins County","REPUBLICAN",0.650337342329129,67.67
"83","Johnson County","REPUBLICAN",0.731174698795181,75.08
"84","Jones County","REPUBLICAN",0.688478747203579,76.72
"85","Lamar County","REPUBLICAN",0.727525931617365,73.42
"86","Lanier County","REPUBLICAN",0.7296573875803,56.13
"87","Laurens County","REPUBLICAN",0.66204179513532,70.59
"88","Lee County","REPUBLICAN",0.715659107617486,76.72
"89","Liberty County","DEMOCRAT",0.584462393607782,64.13
"90","Lincoln County","REPUBLICAN",0.721760292030014,72.75
"91","Long County","REPUBLICAN",0.645833333333333,66.8
"92","Lowndes County","REPUBLICAN",0.587530076367821,66.26
"93","Lumpkin County","REPUBLICAN",0.80519991015274,76.87
"94","Macon County","DEMOCRAT",0.587921468203158,61.84
"95","Madison County","REPUBLICAN",0.771489843331149,76.24
"96","Marion County","REPUBLICAN",0.648439657553162,74.96
"97","McDuffie County","REPUBLICAN",0.622757900730758,69.17
"98","McIntosh County","REPUBLICAN",0.64079373650108,69.46
"99","Meriwether County","REPUBLICAN",0.625636240244316,72.86
"100","Miller County","REPUBLICAN",0.750734214390602,72.61
"101","Mitchell County","REPUBLICAN",0.580150951898164,68.23
"102","Monroe County","REPUBLICAN",0.731699051061907,73.13
"103","Montgomery County","REPUBLICAN",0.763402970047823,73.77
"104","Morgan County","REPUBLICAN",0.727486533646916,82.36
"105","Murray County","REPUBLICAN",0.856709411495306,70.62
"106","Muscogee County","DEMOCRAT",0.613894721148948,65.53
"107","Newton County","DEMOCRAT",0.573047027146026,72.76
"108","Oconee County","REPUBLICAN",0.675193315498223,86.14
"109","Oglethorpe County","REPUBLICAN",0.709022897302199,78.38
"110","Paulding County","REPUBLICAN",0.617347367536451,77.87
"111","Peach County","REPUBLICAN",0.528021406273227,NA
"112","Pickens County","REPUBLICAN",0.826249103514224,80.11
"113","Pierce County","REPUBLICAN",0.886691937301506,76.08
"114","Pike County","REPUBLICAN",0.865726352697426,77.65
"115","Polk County","REPUBLICAN",0.800792864222002,73.3
"116","Pulaski County","REPUBLICAN",0.700184501845018,73.4
"117","Putnam County","REPUBLICAN",0.709482022210142,77.84
"118","Quitman County","REPUBLICAN",0.575438596491228,75.41
"119","Rabun County","REPUBLICAN",0.782020531516838,79.03
"120","Randolph County","DEMOCRAT",0.535451505016722,63.36
"121","Richmond County","DEMOCRAT",0.677893704084807,65.07
"122","Rockdale County","DEMOCRAT",0.734388839681134,72.53
"123","Schley County","REPUBLICAN",0.811367380560132,80.41
"124","Screven County","REPUBLICAN",0.625,66.78
"125","Seminole County","REPUBLICAN",0.701522335912154,69.05
"126","Spalding County","REPUBLICAN",0.580664689145832,70.95
"127","Stephens County","REPUBLICAN",0.811665012596381,70.48
"128","Stewart County","DEMOCRAT",0.580374753451677,72.94
"129","Sumter County","DEMOCRAT",0.509253879990041,69.4
"130","Talbot County","DEMOCRAT",0.558745190884877,75.51
"131","Taliaferro County","DEMOCRAT",0.573529411764706,68.25
"132","Tattnall County","REPUBLICAN",0.765390037593985,72.84
"133","Taylor County","REPUBLICAN",0.652938221998995,74.03
"134","Telfair County","REPUBLICAN",0.695301376364499,62.97
"135","Terrell County","DEMOCRAT",0.519004837595024,70.15
"136","Thomas County","REPUBLICAN",0.61911231884058,73.27
"137","Tift County","REPUBLICAN",0.676673141444464,66.45
"138","Toombs County","REPUBLICAN",0.752199413489736,65.85
"139","Towns County","REPUBLICAN",0.809572301425662,83.2
"140","Treutlen County","REPUBLICAN",0.720922781159885,73.86
"141","Troup County","REPUBLICAN",0.619473549706108,63.2
"142","Turner County","REPUBLICAN",0.641012261935821,67.83
"143","Twiggs County","REPUBLICAN",0.572037701974865,75.83
"144","Union County","REPUBLICAN",0.809675615212528,84.04
"145","Upson County","REPUBLICAN",0.697408871321915,72.36
"146","Walker County","REPUBLICAN",0.793554821417441,73.6
"147","Walton County","REPUBLICAN",0.726445799643689,77.36
"148","Ware County","REPUBLICAN",0.714216231239578,71.95
"149","Warren County","DEMOCRAT",0.522376543209877,68.83
"150","Washington County","REPUBLICAN",0.508163910249658,72.85
"151","Wayne County","REPUBLICAN",0.797212594941376,72.95
"152","Webster County","REPUBLICAN",0.591317365269461,78.08
"153","Wheeler County","REPUBLICAN",0.724077328646749,71.18
"154","White County","REPUBLICAN",0.840178306092125,77.38
"155","Whitfield County","REPUBLICAN",0.719468715476549,68.98
"156","Wilcox County","REPUBLICAN",0.74484613086346,73.58
"157","Wilkes County","REPUBLICAN",0.582777559827383,76.62
"158","Wilkinson County","REPUBLICAN",0.588427057864711,74.94
"159","Worth County","REPUBLICAN",0.750993662047481,70.9
